"גימלאות","מקבלי גימלה","ילדים בישוב","ילדים","בן בת זוג","אזרח וותיק","מקבלי שירות","סוג גימלה","ישוב"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","ראש צורים"
3,3,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","תקוע"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","אלון שבות"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","אלון שבות"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אלעזר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","אלעזר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","אלעזר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","אלעזר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","אלעזר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","אלעזר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","אספר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","אספר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","אספר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","בת עין"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","בת עין"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","בת עין"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","הר גילה"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","הר גילה"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נכה","הר גילה"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","הר גילה"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","כפר עציון"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","כפר עציון"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","כפר עציון"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","כפר עציון"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","כפר עציון"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","כרמי צור"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","כרמי צור"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","כרמי צור"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","כרמי צור"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","כרמי צור"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","כרמי צור"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ילד נכה","מגדל עוז"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","מעלה עמוס"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","מעלה עמוס"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","מעלה עמוס"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","נווה דניאל"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","נוקדים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","נוקדים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","קדר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","קדר"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","ראש צורים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","ראש צורים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","ראש צורים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","ראש צורים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","ראש צורים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","ראש צורים"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","תקוע"
2,2,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","ניידות","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","אלון שבות"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","אלעזר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נ.עבודה","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נ.עבודה","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","אספר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק אלמן","בת עין"
2,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","לא ידוע","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נ.עבודה","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","בת עין"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נ.עבודה","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","ניידות","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","שרמ","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","שרמ","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","הר גילה"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נ.עבודה","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","שרמ","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","כפר עציון"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","כרמי צור"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ילד נכה","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נכה","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","מגדל עוז"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","מעלה עמוס"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","ניידות","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","שרמ","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","שרמ","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","נווה דניאל"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","נ.עבודה","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","ניידות","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","שרמ","נוקדים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","אזרח ותיק אלמן","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","לא ידוע","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","סיעודי","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","סיעודי","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","קדר"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","ראש צורים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","נכה","ראש צורים"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","אזרח ותיק","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","נ.עבודה","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","ניידות","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","ניידות","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","לא אזרח ותיק","מקבל שירות ברווחה","ניידות","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","אזרח ותיק","מקבל שירות ברווחה","נכה","תקוע"
1,1,"אין ילדים שגרים ביישוב","אין ילדים","ללא בן/בת זוג","לא אזרח ותיק","לא מקבל שירות ברווחה","שרמ","תקוע"
1,,"אין ילדים שגרים ביישוב","אין ילדים","יש בן/בת זוג","אזרח ותיק","לא מקבל שירות ברווחה","ניידות","ראש צורים"
